algorithm,n,time
quartic,30,0.6476750373840332
quartic,30,0.37952327728271484
quartic,30,0.32394933700561523
quartic,30,0.3580343723297119
quartic,30,0.34444189071655273
quartic,42,0.4430413246154785
quartic,42,0.41308116912841797
quartic,42,0.3107600212097168
quartic,42,0.3959238529205322
quartic,42,0.4263479709625244
quartic,59,0.3885815143585205
quartic,59,0.4072144031524658
quartic,59,0.4773719310760498
quartic,59,0.4786999225616455
quartic,59,0.4383735656738281
quartic,84,0.37628936767578125
quartic,84,0.37457847595214844
quartic,84,0.38845300674438477
quartic,84,0.4198901653289795
quartic,84,0.32138872146606445
quartic,118,0.39621806144714355
quartic,118,0.3788936138153076
quartic,118,0.41768836975097656
quartic,118,0.40630459785461426
quartic,118,0.4415252208709717
quartic,167,0.46828579902648926
quartic,167,0.3504633903503418
quartic,167,0.39481258392333984
quartic,167,0.39336109161376953
quartic,167,0.4476814270019531
quartic,235,0.505225419998169
quartic,235,0.4316699504852295
quartic,235,0.4879593849182129
quartic,235,0.525841474533081
quartic,235,0.4763450622558594
quartic,332,0.6708831787109375
quartic,332,0.6884541511535645
quartic,332,0.667809009552002
quartic,332,0.713742733001709
quartic,332,0.6992454528808594
quartic,468,1.2074558734893799
quartic,468,1.2190074920654297
quartic,468,1.3267154693603516
quartic,468,1.3185358047485352
quartic,468,1.2481193542480469
quartic,660,3.6872541904449463
quartic,660,3.5305891036987305
quartic,660,3.741832971572876
quartic,660,3.6518943309783936
quartic,660,3.7541794776916504
quartic,931,13.291074275970459
quartic,931,13.063259840011597
quartic,931,12.977890491485596
quartic,931,13.271628141403198
quartic,931,13.449275016784668
cubic,30,0.3686041831970215
cubic,30,0.3553953170776367
cubic,30,0.3486506938934326
cubic,30,0.35464954376220703
cubic,30,0.3034951686859131
cubic,42,0.3358571529388428
cubic,42,0.3323802947998047
cubic,42,0.33368992805480957
cubic,42,0.30069971084594727
cubic,42,0.3086433410644531
cubic,59,0.3762247562408447
cubic,59,0.3704390525817871
cubic,59,0.31714487075805664
cubic,59,0.29734277725219727
cubic,59,0.29837536811828613
cubic,84,0.4133462905883789
cubic,84,0.3498513698577881
cubic,84,0.3238077163696289
cubic,84,0.3294694423675537
cubic,84,0.31642794609069824
cubic,118,0.39093446731567383
cubic,118,0.3720881938934326
cubic,118,0.3644373416900635
cubic,118,0.36038994789123535
cubic,118,0.3268575668334961
cubic,167,0.37637948989868164
cubic,167,0.4154963493347168
cubic,167,0.36194801330566406
cubic,167,0.3521749973297119
cubic,167,0.36209559440612793
cubic,235,0.39011502265930176
cubic,235,0.34303975105285645
cubic,235,0.3502631187438965
cubic,235,0.3823070526123047
cubic,235,0.35045409202575684
cubic,332,0.3809022903442383
cubic,332,0.414703369140625
cubic,332,0.40059471130371094
cubic,332,0.43299245834350586
cubic,332,0.3573336601257324
cubic,468,0.36602234840393066
cubic,468,0.3887648582458496
cubic,468,0.3848998546600342
cubic,468,0.4005722999572754
